ID,name,team,kit_number
198784,Alex Oxlade-Chamberlain,Liverpool,15
198329,Rodrigo,Leeds United,19
194806,Craig Dawson,West Ham United,15
189682,Ben Mee,Burnley,6
188988,Manuel Lanzini,West Ham United,10
180216,Seamus Coleman,Everton,23
138412,James Milner,Liverpool,7
245336,Max Kilman,Wolverhampton Wanderers,23
244915,Mohammed Salisu,Southampton,22
243282,Dwight McNeil,Burnley,11
242656,Illan Meslier,Leeds United,1
241202,Patson Daka,Leicester City,29
241159,Marc Guehi,Crystal Palace,6
241042,Oliver Skipp,Tottenham Hotspur,29
236499,Douglas Luiz,Aston Villa,6
235794,Eberechi Eze,Crystal Palace,10
235353,Ismaïla Sarr,Watford,23
232223,Konstantinos Tsimikas,Liverpool,21
232104,Daniel James,Leeds United,20
232080,Jack Harrison,Leeds United,22
231633,Issa Diop,West Ham United,23
231554,James Justin,Leicester City,2
231318,Romain Perraud,Southampton,15
230899,Ademola Lookman,Leicester City,37
228789,Robert Sánchez,Brighton & Hove Albion,1
228295,Rob Holding,Arsenal,16
227927,Kyle Walker-Peters,Southampton,2
226380,Hwang Hee-Chan,Wolverhampton Wanderers,26
225793,Ben Godfrey,Everton,22
225508,Eric Bailly,Manchester United,3
224221,Joachim Andersen,Crystal Palace,16
222400,Harry Winks,Tottenham Hotspur,8
220633,Demarai Gray,Everton,11
218659,Matt Targett,Newcastle United,13
215639,Kenedy,Chelsea,23
212602,Diego Llorente,Leeds United,14
212501,Leander Dendoncker,Wolverhampton Wanderers,32
212228,Ivan Toney,Brentford,17
211784,Neal Maupay,Brighton & Hove Albion,9
210047,Fabian Schär,Newcastle United,5
208004,Joël Veltman,Brighton & Hove Albion,34
207948,Bertrand Traoré,Aston Villa,15
207807,Ryan Fraser,Newcastle United,21
205923,Ben Davies,Tottenham Hotspur,33
202282,Stuart Armstrong,Southampton,17
201417,Matt Doherty,Tottenham Hotspur,2
198032,Dan Burn,Newcastle United,33
194932,Andros Townsend,Everton,14
192123,Chris Wood,Newcastle United,20
190765,Pascal Groß,Brighton & Hove Albion,13
186801,Cheikhou Kouyaté,Crystal Palace,8
183394,Moussa Sissoko,Watford,19
163155,Ben Foster,Watford,1
247827,Michael Olise,Crystal Palace,7
244778,Francisco Trincão,Wolverhampton Wanderers,11
244380,Vitalii Mykolenko,Everton,19
243231,Enock Mwepu,Brighton & Hove Albion,12
242641,Rayan Aït-Nouri,Wolverhampton Wanderers,3
239837,Alexis Mac Allister,Brighton & Hove Albion,10
239817,Boubakary Soumaré,Leicester City,42
239015,Emmanuel Dennis,Watford,25
236532,Robin Koch,Leeds United,5
233866,Odsonne Édouard,Crystal Palace,22
230918,Trevoh Chalobah,Chelsea,14
229167,Milot Rashica,Norwich City,17
226627,Takumi Minamino,Liverpool,18
226093,Ché Adams,Southampton,10
225024,Mason Holgate,Everton,4
220570,Jan Bednarek,Southampton,35
220421,Hassane Kamara,Watford,14
215590,Ayoze Pérez,Leicester City,17
213666,Ruben Loftus-Cheek,Chelsea,12
213655,Alex Iwobi,Everton,17
213135,Divock Origi,Liverpool,27
213051,Mohamed Elneny,Arsenal,25
212883,Daniel Amartey,Leicester City,18
211575,André Gomes,Everton,21
210896,Morgan Sanson,Aston Villa,8
207707,Fernando Marçal,Wolverhampton Wanderers,5
207616,Adam Webster,Brighton & Hove Albion,4
206115,Isaac Hayden,Newcastle United,14
204760,Charlie Taylor,Burnley,3
200759,Jeff Schlupp,Crystal Palace,15
199189,Ross Barkley,Chelsea,18
198719,Nathan Redmond,Southampton,11
189456,Liam Cooper,Leeds United,6
189280,Ashley Westwood,Burnley,18
189165,Jonjo Shelvey,Newcastle United,8
186156,Luke Ayling,Leeds United,2
183130,Marc Albrighton,Leicester City,11
178088,Juan Mata,Manchester United,8
170597,Tim Krul,Norwich City,1
256268,Armando Broja,Southampton,18
254470,Luke Thomas,Leicester City,33
248484,Nathan Collins,Burnley,22
247028,Alex Král,West Ham United,33
243014,Bryan Mbeumo,Brentford,19
242434,Curtis Jones,Liverpool,17
242418,Tariq Lamptey,Brighton & Hove Albion,2
241928,Albert Sambi Lokonga,Arsenal,23
241184,Júnior Firpo,Leeds United,3
240947,Tyrick Mitchell,Crystal Palace,3
239360,Pascal Struijk,Leeds United,21
238717,Ethan Pinnock,Brentford,5
237329,Joe Willock,Newcastle United,28
237034,Cucho Hernández,Watford,29
236461,Jean-Philippe Mateta,Crystal Palace,14
235883,Ryan Sessegnon,Tottenham Hotspur,19
235454,Malang Sarr,Chelsea,31
234824,Yoane Wissa,Brentford,11
230020,Pierre Lees-Melou,Norwich City,20
230005,Tom Davies,Everton,26
225147,Connor Roberts,Burnley,14
224494,Rico Henry,Brentford,3
224258,Kristoffer Ajer,Brentford,20
223334,Joelinton,Newcastle United,7
222994,Marvelous Nakamba,Aston Villa,19
222404,Mathias Normann,Norwich City,16
221841,Adam Armstrong,Southampton,9
221269,Jairo Riedewald,Crystal Palace,44
220901,David Raya,Brentford,1
220659,Josh Brownhill,Burnley,8
216433,Anwar El Ghazi,Everton,34
212491,Arthur Masuaku,West Ham United,26
210697,Christian Norgaard,Brentford,6
210635,Kortney Hause,Aston Villa,30
207557,Robin Olsen,Aston Villa,25
206594,Solly March,Brighton & Hove Albion,20
206516,Will Hughes,Crystal Palace,12
206304,Luka Milivojevic,Crystal Palace,4
205989,Calum Chambers,Aston Villa,16
205346,Ryan Fredericks,West Ham United,24
203570,Stuart Dallas,Leeds United,15
203487,Jamaal Lascelles,Newcastle United,6
203362,Mohammed Elyounoussi,Southampton,24
202849,Jannik Vestergaard,Leicester City,23
201118,Cédric Soares,Arsenal,17
199633,Matthew Lowton,Burnley,2
197756,Jordan Ayew,Crystal Palace,9
194794,Andriy Yarmolenko,West Ham United,7
194201,Pontus Jansson,Brentford,18
193331,Karl Darlow,Newcastle United,26
190875,Juraj Kucka,Watford,33
190362,Teemu Pukki,Norwich City,22
189324,Alex McCarthy,Southampton,1
189250,Salomón Rondón,Everton,33
184111,Christian Benteke,Crystal Palace,20
183427,Fabian Delph,Everton,8
180819,Adam Lallana,Brighton & Hove Albion,14
172723,Asmir Begovic,Everton,15
172203,Fraser Forster,Southampton,44
171972,James McArthur,Crystal Palace,18
169706,Jack Cork,Burnley,4
163264,Tom Heaton,Manchester United,22
152908,Ashley Young,Aston Villa,18
152879,Mark Noble,West Ham United,16
262118,Valentino Livramento,Southampton,21
246923,Jacob Ramsey,Aston Villa,41
243414,Brandon Williams,Norwich City,21
240060,Max Aarons,Norwich City,2
239778,Jakub Moder,Brighton & Hove Albion,15
239529,Frank Onyeka,Brentford,15
239452,Ibrahima Diallo,Southampton,27
237560,Moussa Djenepo,Southampton,19
237386,Kiernan Dewsbury-Hall,Leicester City,22
236600,Japhet Tanganga,Tottenham Hotspur,25
236457,Dimitris Giannoulis,Norwich City,30
235167,Vitaly Janelt,Brentford,27
229723,Mathias Jensen,Brentford,8
225410,Adam Masina,Watford,11
224263,Jonjoe Kenny,Everton,2
210972,Javier Manquillo,Newcastle United,19
207998,Danny Ward,Leicester City,12
207650,Emil Krafth,Newcastle United,17
206085,Jacob Murphy,Newcastle United,23
202697,Jack Stephens,Southampton,5
201988,Federico Fernández,Newcastle United,18
198904,Grant Hanley,Norwich City,5
198861,Nampalys Mendy,Leicester City,24
192955,Mateusz Klich,Leeds United,43
192622,Shane Duffy,Brighton & Hove Albion,24
190324,Christian Kabasele,Watford,27
189860,Kiko Femenía,Watford,21
186392,Joel Ward,Crystal Palace,2
186146,Danny Welbeck,Brighton & Hove Albion,18
185422,Joshua King,Watford,7
184037,Martin Kelly,Crystal Palace,34
173546,James Tomkins,Crystal Palace,5
170084,Wayne Hennessey,Burnley,13
169792,Jay Rodriguez,Burnley,19
169705,Ryan Bertrand,Leicester City,5
169697,Darren Randolph,West Ham United,35
152747,Aaron Lennon,Burnley,17
251530,Nuno Tavares,Arsenal,20
246174,Harvey Elliott,Liverpool,67
246069,Lukas Rupp,Norwich City,7
240913,Caoimhin Kelleher,Liverpool,62
239890,Ozan Kabak,Norwich City,15
237207,Samuel Kalu,Watford,28
237161,Sean Longstaff,Newcastle United,36
228332,Hamza Choudhury,Leicester City,20
215651,Samir,Watford,22
204355,Paul Dummett,Newcastle United,3
203042,Jack Butland,Crystal Palace,1
198331,Matej Vydra,Burnley,27
194957,Phil Jones,Manchester United,4
193910,Adam Forshaw,Leeds United,4
192991,Cenk Tosun,Everton,20
191076,Johann Gudmundsson,Burnley,7
190456,Nathaniel Clyne,Crystal Palace,17
189725,Tom Cleverley,Watford,8
186905,Ashley Barnes,Burnley,10
186395,Matt Ritchie,Newcastle United,11
182184,Dale Stephens,Burnley,16
178567,Erik Pieters,Burnley,23
169595,Danny Rose,Watford,3
164859,Theo Walcott,Southampton,32
257470,Anthony Elanga,Manchester United,36
256948,Christos Tzolis,Norwich City,18
245992,Billy Gilmour,Norwich City,8
242964,Anthony Gordon,Everton,24
241842,Ben Johnson,West Ham United,31
236988,Edward Nketiah,Arsenal,30
236515,Álvaro Fernández,Brentford,40
231445,Josh Dasilva,Brentford,10
231292,Jamal Lewis,Newcastle United,12
230672,Lyanco,Southampton,4
229266,Joe Rodon,Tottenham Hotspur,14
228681,Francisco Sierralta,Watford,31
224013,Sergi Canós,Brentford,7
216325,Angus Gunn,Norwich City,28
213750,Ken Sema,Watford,12
209532,Daniel Bachmann,Watford,26
208892,Sam Byram,Norwich City,3
205670,Dwight Gayle,Newcastle United,34
203775,Loris Karius,Liverpool,22
200408,Ben Gibson,Norwich City,4
194911,Adrián,Liverpool,13
183491,Mathias Jorgensen,Brentford,22
183129,Ciaran Clark,Newcastle United,2
180706,Craig Cathcart,Watford,15
139062,Wilfredo Caballero,Southampton,13
252042,João Pedro,Watford,10
246053,Joe Gelhardt,Leeds United,30
245715,Jamie Shackleton,Leeds United,46
243019,Tudor Baluta,Brighton & Hove Albion,35
236316,Yann Valery,Southampton,43
234457,Peter Etebo,Watford,4
233705,Jacob Lungi Sorensen,Norwich City,19
228815,Tyler Roberts,Leeds United,11
226401,Kieran Dowell,Norwich City,10
213414,William Troost-Ekong,Watford,5
204246,Marcus Bettinelli,Chelsea,13
201368,Kenny McLean,Norwich City,23
194146,Kevin Long,Burnley,28
172553,Jonas Lössl,Brentford,49
169216,Shane Long,Southampton,7
252037,Fábio Silva,Wolverhampton Wanderers,17
247623,Jeremy Ngakia,Watford,2
242217,Edo Kayembe,Watford,39
239322,Christoph Zimmerman,Norwich City,6
236529,Steven Alzate,Brighton & Hove Albion,17
216483,Tarique Fosu-Henry,Brentford,24
209840,Julian Jeanvier,Brentford,23
184749,Dan Gosling,Watford,16
163600,John Ruddy,Wolverhampton Wanderers,21
163261,Phil Bardsley,Burnley,26
262416,Chiquinho,Wolverhampton Wanderers,20
242752,Nathan Ferguson,Crystal Palace,36
242075,Joshua Sargent,Norwich City,24
239439,Przemyslaw Placheta,Norwich City,11
238157,Mads Roerslev,Brentford,30
231949,Saman Ghoddos,Brentford,14
261647,Andrew Omobamidele,Norwich City,44
251954,Crysencio Summerville,Leeds United,38
244288,Adam Idah,Norwich City,35
240697,Shandon Baptiste,Brentford,26
234472,Mads Bech Sörensen,Brentford,29
231028,Matija Sarkic,Wolverhampton Wanderers,50
167931,Robert Elliot,Watford,35
257534,Cole Palmer,Manchester City,80
256079,Moises Caicedo,Brighton & Hove Albion,25
247649,Jarrad Branthwaite,Everton,32
237328,Nathan Tella,Southampton,23
198039,Mark Gillespie,Newcastle United,29
259406,Santiago Muñoz,Newcastle United,30
257896,Nathan Patterson,Everton,3
246763,Ki-Jana Hoever,Wolverhampton Wanderers,2
237916,William Smallbone,Southampton,20
163201,Michael McGovern,Norwich City,33
157804,Scott Carson,Manchester City,33
254121,Charlie Cresswell,Leeds United,35
253407,Sam Greenwood,Leeds United,42
247601,Rhys Williams,Liverpool,46
223082,Will Norris,Burnley,25
203824,Remi Matthews,Crystal Palace,19
188836,Jason Steele,Brighton & Hove Albion,23
53739,Lee Grant,Manchester United,13
265459,Tyler Morton,Liverpool,80
263522,Jeremy Sarmiento,Brighton & Hove Albion,60
261025,Dane Scarlett,Tottenham Hotspur,44
260145,Omari Hutchinson,Arsenal,82
260144,Charlie Patino,Arsenal,87
259679,Jayden Braaf,Manchester City,73
259356,Carney Chukwuemeka,Aston Villa,33
259031,Liam Delap,Manchester City,48
258171,Hannibal Mejbri,Manchester United,46
256666,Yerson Mosquera,Wolverhampton Wanderers,14
247764,Kyle John,Everton,48
245903,Harvey White,Tottenham Hotspur,42
245901,J'Meill Lloyd-Bennett,Tottenham Hotspur,56
236568,Brandon Austin,Tottenham Hotspur,40
223306,Jaroslaw Jach,Crystal Palace,33
116314,David Martin,West Ham United,25
265412,Harvey Vale,Chelsea,68
261374,Lewis Bate,Leeds United,26
255768,Bjorn Hardley,Manchester United,64
253969,Leo Fuhr Hjelde,Leeds United,33
253452,Miguel Azeez,Arsenal,38
252134,Leighton Clarkson,Liverpool,65
246671,Arthur Okonkwo,Arsenal,33
245907,Jamie Bowden,Tottenham Hotspur,54
241614,Jaakko Oksanen,Brentford,38
237935,Kristoffer Klaesson,Leeds United,13
52326,Eldin Jakupovic,Leicester City,35
264260,Brad Young,Aston Villa,43
264035,Jesurun Rak-Sakyi,Crystal Palace,49
263953,Samuel Edozie,Manchester City,53
263620,Romeo Lavia,Manchester City,90
263582,Myles Peart-Harris,Brentford,25
263486,Tiago Cukur,Watford,49
261621,Luke Mbete,Manchester City,79
260910,Shola Shoretire,Manchester United,47
260141,Catalin Cirjan,Arsenal,68
259403,Joel Ideho,Arsenal,51
247349,Jack Jenkins,Leeds United,47
246950,Ryan Astley,Everton,38
245906,Malachi Walcott,Tottenham Hotspur,46
243827,Lewis Cass,Newcastle United,38
222096,Harry Lewis,Southampton,41
118794,Andy Lonergan,Everton,31
266500,Jon Rowe,Norwich City,46
265788,Zidane Iqbal,Manchester United,73
261265,Lewis Richards,Burnley,38
259766,Finley Stevens,Brentford,36
259097,Salah-Edine Oulad M'Hand,Arsenal,65
258805,Harrison Ashby,West Ham United,50
257253,Bobby Thomas,Burnley,37
253057,Zak Swanson,Arsenal,69
251569,Joel Lopez Salguero,Arsenal,49
248356,Thierno Ballo,Chelsea,49
246454,Dominic Revan,Aston Villa,63
242980,Meritan Shabani,Wolverhampton Wanderers,38
236337,Jake Turner,Newcastle United,41
265789,Charlie Savage,Manchester United,72
264298,Conor Bradley,Liverpool,84
264180,Alfie Devine,Tottenham Hotspur,45
263168,Tyler Onyango,Everton,62
262096,Amari Miller,Leeds United,27
261224,Hugo Bueno,Wolverhampton Wanderers,64
260143,Zane Monlouis,Arsenal,85
259717,Marcelo Flores,Arsenal,78
259324,Thanawat Suengchitthawon,Leicester City,48
258555,Dani Van Den Heuvel,Leeds United,40
257472,Charlie Wellens,Manchester United,59
257254,Max Thompson,Burnley,33
257239,Josh Brooking,Chelsea,47
256506,Flynn Clarke,Norwich City,43
254807,Kwadwo Baah,Watford,34
254113,Chem Campbell,Wolverhampton Wanderers,77
253729,Armstrong Okoflex,West Ham United,40
248472,Marcel Lavinier,Tottenham Hotspur,57
247166,James Olayinka,Arsenal,63
245994,Anthony Mancini,Burnley,35
241160,George McEachran,Chelsea,41
240867,Ajibola Alese,West Ham United,42
240562,Daniel Adshead,Norwich City,54
237825,Nya Kirby,Crystal Palace,58
266127,Lewis Hall,Chelsea,75
262637,Nathan Young-Coombes,Brentford,43
259320,Jake Giddings,Crystal Palace,39
255363,Henry Wise,Watford,46
255312,Scott Banks,Crystal Palace,40
253461,Luke Cundle,Wolverhampton Wanderers,39
251625,Ulrich Eneme,Brighton & Hove Albion,45
251568,Ben Cottrell,Arsenal,41
251453,Daniel Langley,Newcastle United,35
244715,Taylor Perry,Wolverhampton Wanderers,42
244004,D'Mani Bughail-Mellor,Manchester United,49
243849,Paris Maghoma,Brentford,33
264421,Thierry Small,Southampton,16
264120,Andrew Moran,Brighton & Hove Albion,59
264039,Lewis Dobbin,Everton,61
263901,Ed Turns,Brighton & Hove Albion,55
263551,Remi Savage,Newcastle United,57
262930,Daniel Oyegoke,Brentford,34
261300,Killian Phillips,Crystal Palace,47
260927,Kgagelo Chauke,Southampton,48
259677,Alex Robertson,Manchester City,98
259608,Evan Ferguson,Brighton & Hove Albion,58
258931,Hayden Roberts,Brighton & Hove Albion,28
256556,Benjamin Chrisene,Aston Villa,45
255474,Mark Helm,Burnley,55
248473,Pierre Ekwah,West Ham United,46
233368,Rob Harker,Burnley,30
268530,James Morris,Watford,42
266074,Sonny Perkins,West Ham United,64
263963,Oludare Olufunwa,Southampton,42
261640,Jamal Baptiste,West Ham United,75
260157,Maxwell Haygarth,Brentford,37
256488,Matthew Cox,Brentford,41
254588,Billy Koumetio,Liverpool,89
253483,Sam Mcclelland,Chelsea,45
253429,Thomas Clayton,Liverpool,57
243848,Brooklyn Lyons-Foster,Tottenham Hotspur,53
243279,Lewis Gordon,Brentford,39
267849,Tommi O'Reilly,Aston Villa,58
264139,Marc Leonard,Brighton & Hove Albion,42
261641,Keenan Appiah-Forson,West Ham United,59
261375,Lucas Bergstrom,Chelsea,36
258513,Amadou Diallo,West Ham United,48
256353,Zac Emmerson,Brighton & Hove Albion,75
252480,Maurizio Pochettino,Watford,49
248569,James Furlong,Brighton & Hove Albion,54
268788,Lewis Payne,Southampton,61
268550,Josh Feeney,Aston Villa,59
261032,Joseph Hodge,Wolverhampton Wanderers,41
260929,Ryan Finnigan,Southampton,50
256620,Liam Gibbs,Norwich City,42
246392,Lewis Brunt,Leicester City,62
240866,Reece Hannam,Crystal Palace,43
243588,Thomas McGill,Brighton & Hove Albion,38
242983,Jon McCracken,Norwich City,58
258532,Conor Carty,Wolverhampton Wanderers,53
252481,Jeremie Mukendi,Tottenham Hotspur,72
247082,Callum Hulme,Leicester City,46
252894,Regan Riley,Norwich City,51
268655,Joseph Mcglynn,Burnley,56
268629,Sam Waller,Burnley,50
231747,Kylian Mbappé,Paris Saint-Germain,7
190871,Neymar,Paris Saint-Germain,10
230621,Gianluigi Donnarumma,Paris Saint-Germain,50
207865,Marquinhos,Paris Saint-Germain,5
193041,Keylor Navas,Paris Saint-Germain,1
199556,Marco Verratti,Paris Saint-Germain,6
183898,Ángel Di María,Paris Saint-Germain,11
155862,Sergio Ramos,Paris Saint-Germain,4
225850,Presnel Kimpembe,Paris Saint-Germain,3
199451,Wissam Ben Yedder,AS Monaco,10
199482,Anthony Lopes,Lyon,1
193474,Idrissa Gueye,Paris Saint-Germain,27
181291,Georginio Wijnaldum,Paris Saint-Germain,18
177388,Dimitri Payet,Marseille,10
241637,Aurélien Tchouaméni,AS Monaco,8
233927,Lucas Paquetá,Lyon,10
209519,Gaëtan Laborde,Stade Rennais,24
205686,Téji Savanier,Montpellier,11
200610,Kevin Volland,AS Monaco,31
252145,Nuno Mendes,Paris Saint-Germain,25
236987,Boubacar Kamara,Marseille,4
236786,Martin Terrier,Stade Rennais,7
236496,Matteo Guendouzi,Marseille,6
230767,Renato Sanches,Lille,10
216320,Seko Fofana,Lens,8
215223,Walter Benítez,Nice,40
214097,Benjamin Bourigeaud,Stade Rennais,14
207439,Leandro Paredes,Paris Saint-Germain,8
200888,Danilo Pereira,Paris Saint-Germain,15
193983,Andy Delort,Nice,7
191740,Ander Herrera,Paris Saint-Germain,21
190674,Benjamin André,Lille,21
183907,Jérôme Boateng,Lyon,27
171791,José Fonte,Lille,6
251809,Sven Botman,Lille,4
246646,Maxence Caqueret,Lyon,25
244749,Nayef Aguerd,Stade Rennais,6
244261,Lovro Majer,Stade Rennais,21
243715,William Saliba,Marseille,2
243630,Jonathan David,Lille,9
240753,Amine Gouiri,Nice,11
239093,Jonathan Clauss,Lens,11
235889,Cengiz Ünder,Marseille,17
235569,Tanguy Ndombele,Lyon,28
234906,Houssem Aouar,Lyon,8
231691,Alban Lafont,Nantes,1
231102,Ludovic Blas,Nantes,10
225663,Aleksandr Golovin,AS Monaco,17
221087,Pau López,Marseille,16
219789,Hamari Traoré,Stade Rennais,27
219733,Ludovic Ajorque,Strasbourg,25
211591,Moussa Dembélé,Lyon,9
205175,Arkadiusz Milik,Marseille,9
205069,Juan Bernat,Paris Saint-Germain,14
202166,Julian Draxler,Paris Saint-Germain,23
201399,Mauro Icardi,Paris Saint-Germain,9
199641,Matz Sels,Strasbourg,1
163705,Steve Mandanda,Marseille,30
245388,Jean-Clair Todibo,Nice,25
244892,Sofiane Diop,AS Monaco,37
242577,Romain Faivre,Lyon,15
241727,Predrag Rajkovic,Stade de Reims,1
235134,Pablo Rosario,Nice,8
